Maithili,English
ओ समय पर अबैत अछि।,He comes on time.
अहाँ बहुत चतुर छी।,You are very clever.
हम अहाँ स' मिललहुँ बहुत खुशी भेल।,I was very happy to meet you.
ओ अहाँ के प्रतीक्षा क' रहल अछि।,He is waiting for you.
हम अखबार पढ़ि रहल छी।,I am reading the newspaper.
अहाँ स्कूल कखन जायत छी?,When will you go to school?
ओ बहुत मधुर बोलैत अछि।,He speaks very sweetly.
हम अहाँ के संग बस स्टॉप पर छी।,I am with you at the bus stop.
अहाँ के ई रंग नीक लागैत अछि?,Do you like this color?
हम अहाँ के फोटो खींचब।,I will take your photo.
ओ पढ़ि क' थाकि गेल अछि।,He is tired after studying.
"अहाँ हमर मदद कएलहुँ, धन्यवाद।",Thank you for helping me.
हम अपन भाई सँग खेलि रहल छी।,I am playing with my brother.
ओ मोन लगाक' पढ़ैत अछि।,He studies with concentration.
अहाँ हमरा कबूल करैत छी?,Do you accept me?
हम आजु रोटि बना रहल छी।,I am making bread today.
ओ हमर मोबाइल लेल गेल।,He took my phone.
अहाँ कत' रहि रहल छी?,Where are you staying?
हम पानि पीबाक जा रहल छी।,I am going to drink water.
ओ हमरा देखिते हँसि उठल।,He smiled as soon as he saw me.
अहाँ हमरा संग स्कूल चलब?,Will you come to school with me?
हम आब कक्षा में छी।,I am now in class.
ओ सब खिड़की बंद क' देलक।,He closed all the windows.
अहाँ के की हम पर भरोसा अछि?,Do you trust me?
हम अहाँ के संग फोटो खिचायब।,I will take a photo with you.
ओ बहुत मनोहर गाबैत अछि।,He sings very melodiously.
अहाँ के ई बात बुझि में एलै?,Did you understand this?
हम ओहि दुकान स' फल किनल।,I bought fruit from that shop.
ओ आजु स्कूल में अनुपस्थित छल।,He was absent from school today.
अहाँ कोन विषय पढ़ैत छी?,Which subject are you studying?
हम मैथिली कविता लिखय चाहैत छी।,I want to write Maithili poems.
ओ अहाँ के उत्तर देलक?,Did he answer you?
अहाँ हमरा एतेक किएक प्रेम करैत छी?,Why do you love me so much?
हम अपन काज जल्दी समाप्त क' लेब।,I will finish my work early.
ओ हमर गुरु छथि।,He is my teacher.
अहाँ के हमर परीकक्षा में सहयोग चाही?,Do you want help in my exam?
हम अहाँ संग खाना खायब।,I will eat with you.
ओ बहुत गम्भीर विद्यार्थी अछि।,He is a very serious student.
अहाँ के हमर स्मरण अछि?,Do you remember me?
हम अहाँ के किताब वापस करत छी।,I will return your book.
ओ साइकिल चला रहल अछि।,He is riding a bicycle.
अहाँ हमरा संग कोचिंग जायत छी?,Will you go to coaching with me?
"हम कत' जा रहल छी, अहाँ जनैत छी?",Do you know where I am going?
ओ हमर प्रिय गायक अछि।,He is my favorite singer.
अहाँ के हमर घर आबि क' नीक लागल?,Did you enjoy coming to my home?
हम आजु जल्दी उठलहुँ।,I woke up early today.
ओ सगरो सफाई क' रहल अछि।,He is cleaning everything.
अहाँ के नव कपड़ा पसन्द अछि?,Do you like the new clothes?
हम अहाँ के संग शॉपिंग करय जायत छी।,I will go shopping with you.
ओ नव पाठ पढ़ि रहल अछि।,He is reading a new lesson.
अहाँ कत' काम करैत छी?,Where do you work?
हम अहाँ के निमंत्रण स्वीकार करैत छी।,I accept your invitation.
हम अहाँ क' बड्ड मान दैत छी।,I respect you a lot.
ओ बच्चा सभक सिखा रहल अछि।,He is teaching the children.
अहाँ हमरे संग बाजल?,Were you talking to me?
हम एखन भोजन क' रहल छी।,I am eating right now.
ओ हमर किताब वापस क' देलक।,He returned my book.
अहाँ के कोन खेल नीक लागैत अछि?,Which game do you like?
हम कतौ घूमय चाहैत छी।,I want to travel somewhere.
ओ हमर मदद करि रहल अछि।,He is helping me.
अहाँ कतेक दूर चललहुँ?,How far did you walk?
हम अहाँ स' नाराज छी।,I am upset with you.
ओ बहस करय में माहिर अछि।,He is good at arguing.
अहाँ के हमर सुझाव नीक लागल?,Did you like my suggestion?
हम अहाँ के काज सीखय चाहैत छी।,I want to learn your work.
ओ बहुत दिन स' बीमार अछि।,He has been sick for many days.
अहाँ सिनेमा देखलक?,Did you watch the movie?
हम एहि पुस्तक स' बहुत किछु सिखलहुँ।,I learned a lot from this book.
ओ हमर संग नाचय चाहैत अछि।,He wants to dance with me.
अहाँ हमरा सिखा सकैत छी?,Can you teach me?
हम पहिल बेर मैथिली बोलि रहल छी।,I am speaking Maithili for the first time.
ओ अहाँ स' बात नहि करैत अछि।,He doesn’t talk to you.
अहाँ के हमर वाणी नीक लागैत अछि?,Do you like my voice?
हम अपन घर साफ क' रहल छी।,I am cleaning my house.
ओ हमरा सिनेमा ल' गेल।,He took me to the cinema.
अहाँ के कोन भाषाक ज्ञान अछि?,What languages do you know?
हम एहि गीत स' मोहित छी।,I am fascinated by this song.
ओ हमर संग फोटो खिचेलक।,He took a photo with me.
अहाँ हमरा घर कहिया अएब?,When will you come to my home?
हम अपन परियोजना पर काज क' रहल छी।,I am working on my project.
ओ हमरा सुझाव देलक।,He gave me a suggestion.
अहाँ कत' यात्रा कएलहुँ?,Where did you travel?
हम कताब पढ़बाक शौकीन छी।,I am fond of reading books.
ओ हमरा फोन करलक।,He called me.
अहाँ के ई संवाद बुझायल?,Did you understand this sentence?
हम अहाँ के कहने रही।,I had told you.
ओ हमर संग चलब नहि चाहैत अछि।,He doesn’t want to come with me.
अहाँ हमर उत्तर देब?,Will you reply to me?
हम स्कूल स' अबि क' थाकल छी।,I am tired after returning from school.
ओ कतेक मेहनत करैत अछि।,He works so hard.
अहाँ के हमर लिखल कविता नीक लागल?,Did you like my poem?
हम अहाँ स' क्षमा माँगैत छी।,I apologize to you.
ओ हमर संग बहस कएलक।,He argued with me.
अहाँ कत' व्यस्त छी?,Where are you busy?
हम अहाँ क' कालि देखलहुँ।,I saw you yesterday.
ओ किताब पढ़ि क' काज क' रहल अछि।,He is working after reading the book.
अहाँ के हमर सपना बुझायल?,Did you understand my dream?
हम अहाँ सिखय में रुचि रखैत छी।,I am interested in learning from you.
ओ हमर प्रेरणा छी।,He is my inspiration.
अहाँ हमर प्रिय व्यक्ति छी।,You are my favorite person.
हम अहाँ स' बहुत रास सवाल पूछब।,I will ask you many questions.
ओ अपन भविष्यक योजना बना रहल अछि।,He is planning his future.
हम परीक्षा लेल तैय्यार छी।,I am ready for the exam.
ओ पुस्तकालय में पढ़ि रहल अछि।,He is studying in the library.
अहाँ के हमर संग समस्या अछि?,Do you have a problem with me?
हम अहाँ के उत्तर काल्हि देब।,I will give you the answer tomorrow.
ओ राति भरि पढ़ैत रहल।,He studied all night.
अहाँ हमर काज सराहना कएलहुँ?,Did you appreciate my work?
हम ओहि स्थान के बारे में नहि जनैत छी।,I don’t know about that place.
ओ हमरा बेर-बेर देखैत अछि।,He keeps looking at me.
अहाँ कतेक दिन स' इ काज करि रहल छी?,How long have you been doing this work?
हम अहाँ स' कोनो बात नहि छुपब।,I won’t hide anything from you.
ओ हमर संग कहियो नहि झगड़ल।,He never fought with me.
अहाँ हमर मदद करि सकैत छी?,Can you help me?
हम अपन कक्षा में प्रथम एलहुँ।,I came first in my class.
ओ बजार स' सब्जी किनलक।,He bought vegetables from the market.
अहाँ हमरे संग बस में छी।,You are with me on the bus.
हम ओहि व्यक्ति के नहि चिन्हैत छी।,I don’t know that person.
ओ हमर प्रेरक कथा सुनाओल।,He told me an inspiring story.
अहाँ हमरा संगे काज करय चाहब?,Would you like to work with me?
हम ओहि संग संपर्क में छी।,I am in contact with him.
ओ अपन मातृभाषा पर गर्व करैत अछि।,He is proud of his mother tongue.
अहाँ हमरा बिनु कोना रहब?,How will you live without me?
हम अहाँ के संगे टहलय जायत छी।,I will go for a walk with you.
ओ किताब वापिस देबय नहि चाहैत अछि।,He doesn't want to return the book.
अहाँ के हमर आवाज सुनाई पड़ल?,Did you hear my voice?
हम अहाँ के कहियो नहि बिसरब।,I will never forget you.
ओ विद्यालयक शिक्षक अछि।,He is a teacher at the school.
"अहाँ कतबो प्रयास करु, हम बदलब नहि।","No matter how hard you try, I won’t change."
हम ओहि दिनक प्रतीक्षा क' रहल छी।,I am waiting for that day.
ओ हमर सपना पूरा करबाक चाह राखैत अछि।,He wants to fulfill my dream.
अहाँ हमर संग की करब चाहैत छी?,What do you want to do with me?
हम अपन घर जा रहल छी।,I am going home.
ओ संगीत स' बहुत प्रेम करैत अछि।,He loves music a lot.
अहाँ हमर गलती क्षमा करब?,Will you forgive my mistake?
हम ओहि काज में सहभागी रही।,I participated in that work.
ओ अहाँ के बारे में बहुत कहैत अछि।,He talks a lot about you.
अहाँ हमरा सुझाव देब?,Will you give me a suggestion?
हम कतेक बेर अहाँ स' कहलहुँ!,How many times have I told you!
ओ हमर जीवन में विशेष स्थान राखैत अछि।,He holds a special place in my life.
अहाँ के हमर भाषा नीक लागल?,Did you like my language?
हम अहाँ क' देखिक' प्रसन्न भेलहुँ।,I was happy to see you.
ओ हमर संग पुस्तक बाँटलक।,He shared the book with me.
अहाँ ओहि स्थान पर कहिया गेल रही?,When did you go to that place?
हम मैथिली सिखय के प्रयास क' रहल छी।,I am trying to learn Maithili.
ओ हमरा एतेक जल्दी बिसरि गेल।,He forgot me so quickly.
अहाँ हमर बात सुनि रहल छी?,Are you listening to me?
हम अहाँ के संग जीवन बितेब।,I will spend my life with you.
ओ हमर जीवन बदलि देलक।,He changed my life.
अहाँ हमर आदर्श छी।,You are my role model.
हम अहाँ के समर्थन सदा करब।,I will always support you.
हम पुस्तक लिखय के सोचि रहल छी।,I am thinking of writing a book.
ओ हमरा अपन अनुभव बताओल।,He shared his experience with me.
अहाँ हमर प्रिय मित्र छी।,You are my dear friend.
हम अहाँ के बिना अधूरा छी।,I am incomplete without you.
ओ हर दिन प्रार्थना करैत अछि।,He prays every day.
अहाँ हमर प्रेरणा छी।,You are my inspiration.
हम काज समय पर समाप्त क' लेब।,I will complete the work on time.
ओ हमर मार्गदर्शक बनल।,He became my guide.
अहाँ के सन्देश भेटल?,Did you get the message?
हम नवा गाना सुनि रहल छी।,I am listening to a new song.
ओ हमर संग यात्रा कएलक।,He traveled with me.
अहाँ हमर निबंध पढ़ल?,Did you read my essay?
हम परीक्षा लेल तैयारी क' रहल छी।,I am preparing for the exam.
ओ हमर भविष्य बनाबय चाहैत अछि।,He wants to shape my future.
अहाँ के संग समय बितेनाय सुखद अनुभव छी।,Spending time with you is a pleasant experience.
हम अपन लक्ष्य पर ध्यान द' रहल छी।,I am focusing on my goal.
ओ हमर सहायता सदा करैत अछि।,He always helps me.
अहाँ हमर विचार स' सहमत छी?,Do you agree with my opinion?
हम ओहि सम्मेलन में भाग लेब।,I will attend that conference.
ओ हमरे सिखबैत अछि।,He teaches me.
अहाँ के कोना पता चलल?,How did you find out?
हम परीक्षा में उत्तीर्ण भेलहुँ।,I passed the exam.
ओ हमर संग बात नहि करैत अछि।,He doesn’t talk to me.
अहाँ हमर जीवन में खास छी।,You are special in my life.
हम अहाँ सिखय चाहैत छी।,I want to learn from you.
ओ हमर काज में रुचि लैत अछि।,He is interested in my work.
अहाँ के हमर सहायता कएलहु?,Did you help me?
हम ओहि आयोजन में शामिल भेलहुँ।,I participated in that event.
ओ हमर बात समझि गेल।,He understood me.
अहाँ के हमर बात नीक लागल?,Did you like what I said?
हम परीक्षा में अव्वल आयलहुँ।,I topped the exam.
ओ हमरा प्रेरणा दैत अछि।,He inspires me.
अहाँ हमरा संग रहब?,Will you stay with me?
हम जीवन में सफल बनय चाहैत छी।,I want to be successful in life.
ओ हमर आत्मविश्वास बढ़बैत अछि।,He boosts my confidence.
अहाँ हमर परिवार के चिन्हैत छी?,Do you know my family?
हम ओहि गाछ तर बैसल रही।,I was sitting under that tree.
ओ हमर स्मृति में सदा रहत।,He will always remain in my memory.
अहाँ हमरा खुशी देलहुँ।,You made me happy.
हम पुस्तकालय में नित्य जायत छी।,I go to the library daily.
ओ हमरा अपन पेन देलक।,He gave me his pen.
अहाँ हमर गलती सुधारलहुँ।,You corrected my mistake.
हम विद्यालय में पढ़ब।,I will study at school.
ओ हमर संग सभ ठाम जायत अछि।,He goes everywhere with me.
अहाँ हमरा गाइड करब?,Will you guide me?
हम अहाँ क' हार्दिक धन्यवाद दैत छी।,I sincerely thank you.
ओ हमर जीवनक हिस्सा अछि।,He is a part of my life.
अहाँ के हमरा पर भरोसा अछि?,Do you trust me?
हम ओहि दिन सदा याद रखब।,I will always remember that day.
हम सदा सत्य कहैत छी।,I always speak the truth.
ओ हमर प्रिय शिक्षक अछि।,He is my favorite teacher.
अहाँ हमर समस्या बुझलहुँ।,You understood my problem.
हम ओहि फिल्मक प्रशंसा करैत छी।,I appreciate that movie.
ओ अपन घर सजाबय में व्यस्त अछि।,He is busy decorating his house.
अहाँ हमरा सिखौलहुँ कि कोना जियबाक।,You taught me how to live.
हम परीक्षा पास करय लेल कठिन परिश्रम क' रहल छी।,I am working hard to pass the exam.
ओ हमर संग नियमित अभ्यास करैत अछि।,He practices with me regularly.
अहाँ हमर आत्मबल बढ़ेलहुँ।,You boosted my morale.
हम अपन मातृभूमि स' प्रेम करैत छी।,I love my motherland.
ओ हमर सलाह मानैत अछि।,He follows my advice.
अहाँ हमरा जीवनक महत्व बुझेलहुँ।,You taught me the value of life.
हम रोज सुबह टहलय जायत छी।,I go for a walk every morning.
ओ हमर भावना क' आदर करैत अछि।,He respects my feelings.
अहाँ हमरा अपन मित्र कहब?,Will you call me your friend?
हम अहाँ के संग सहर घूमय चाहैत छी।,I want to explore the city with you.
ओ हमर संग पढाई करैत अछि।,He studies with me.
अहाँ हमरा कखनो नहि बिसरब।,You will never forget me.
हम नवा पाठ सिखय चाहैत छी।,I want to learn a new lesson.
ओ हमर मार्गदर्शन करैत अछि।,He guides me.
अहाँ हमर विचार सुन्नु।,Listen to my thoughts.
हम दिन भरि मेहनत करैत छी।,I work hard all day.
ओ बहुत ज्ञानी व्यक्ति छथि।,He is a very knowledgeable person.
अहाँ हमर संग कहियो चललहुँ?,Have you ever gone with me?
हम अपन भविष्य के ल' क' चिन्तित छी।,I am worried about my future.
ओ हमरा परीक्षा लेल तैयार कएलक।,He prepared me for the exam.
अहाँ हमर संग सुख-दुख बाँटलहुँ।,You shared joys and sorrows with me.
हम रोजे नवा बात सिखैत छी।,I learn something new every day.
ओ हमरा अपन परिवार स' परिचित कराओलक।,He introduced me to his family.
अहाँ हमर आदर्श छी।,You are my role model.
हम ओहि विषय में बहुत रुचि लैत छी।,I am very interested in that subject.
ओ हमरे सँ माफी माँगल।,He apologized to me.
अहाँ हमरा आश्चर्यचकित कएलहुँ।,You surprised me.
हम नियमित अभ्यास करैत छी।,I practice regularly.
ओ हमर सच्चा मित्र अछि।,He is my true friend.
अहाँ हमर नजरिया बदलि देलहुँ।,You changed my perspective.
हम सदा अहाँक साथ द'ब।,I will always stand by you.
ओ हमरा समझय में माहिर अछि।,He is good at understanding me.
अहाँ के हमर सोच नीक लागल?,Did you like my thinking?
हम अपन आत्मविश्वास बढ़बय चाहैत छी।,I want to build my confidence.
ओ हमर प्रतिक्रिया सुनय चाहैत अछि।,He wants to hear my feedback.
अहाँ हमरा अपन अनुभव सुनायब?,Will you share your experience with me?
हम नियमित रूप स' डायरी लिखैत छी।,I write a diary regularly.
ओ हमर प्रतिभा के सराहना करैत अछि।,He appreciates my talent.
अहाँ हमर प्रश्न के उत्तर देब?,Will you answer my question?
हम नित्य समय पर उठैत छी।,I wake up on time every day.
ओ हमरा प्रेरित करैत अछि।,He motivates me.
अहाँ हमर जीवन में उजास लएलहुँ।,You brought light into my life.
हम स्कूल स' समय पर अबैत छी।,I return from school on time.
हम अहाँ सँ घुमय लेल उत्साहित छी।,I am excited to go on a trip with you.
ओ हमरे जीवन में बदलाव आनलक।,He brought a change in my life.
अहाँ हमरा अपन घर पर बजौलहुँ।,You invited me to your home.
हम नियमित रूप स' समाचार पढ़ैत छी।,I read the news regularly.
ओ हमर संग ईमानदारी सँ व्यवहार करैत अछि।,He deals with me honestly.
अहाँ हमर संदेह दूर कएलहुँ।,You cleared my doubts.
हम मैथिली सिखय में गर्व महसूस करैत छी।,I feel proud to learn Maithili.
ओ हमर संग चाय पीबय चाहैत अछि।,He wants to drink tea with me.
अहाँ हमरा अपन प्रेरणा स्रोत बतौलहुँ।,You told me your source of inspiration.
हम रोज नवा शब्द सिखय चाहैत छी।,I want to learn new words daily.
ओ हमर प्रति संवेदनशील अछि।,He is sensitive toward me.
अहाँ हमरा अपन अनुभव साझा करब?,Will you share your experience with me?
हम गप्प करय में रुचि रखैत छी।,I am interested in chatting.
ओ हमर सभ बात ध्यान स' सुनैत अछि।,He listens to everything I say carefully.
अहाँ हमर आत्मा के छू लेलहुँ।,You touched my soul.
हम हर दिन नव सीख लेल खोजी करैत छी।,I seek something new to learn every day.
ओ हमर प्रिय लेखक छथि।,He is my favorite author.
अहाँ हमर नजरि स' देखलहुँ।,You saw it from my perspective.
हम अपन आवाज रिकॉर्ड करैत छी।,I record my voice.
ओ हमर उपेक्षा नहि करैत अछि।,He does not ignore me.
अहाँ हमर शब्दक महत्व बुझलहुँ।,You understood the value of my words.
हम अपन सपनाक पीछा करैत छी।,I follow my dreams.
ओ हमर सलाह सदा मानैत अछि।,He always follows my advice.
अहाँ हमर स्थिति के सराहना कएलहुँ।,You appreciated my situation.
हम अपन गलती स' सिखैत छी।,I learn from my mistakes.
ओ हमर संकल्प मजबूत कएलक।,He strengthened my resolve.
अहाँ हमरा अपन लक्ष्य बताओल।,You told me your goal.
हम अपन समय के सदुपयोग करैत छी।,I use my time wisely.
ओ हमर सहयोग लेल तैयार अछि।,He is ready to support me.
अहाँ हमर आत्म-सम्मान बढ़ेलहुँ।,You increased my self-respect.
हम अपन लेखनी स' विचार प्रकट करैत छी।,I express thoughts through writing.
ओ हमरे अपन प्रेरक कथा सुनौल।,He told me his inspiring story.
अहाँ हमर जीवन में नवा ऊर्जा भरलहुँ।,You filled new energy into my life.
हम सदा सीखय लेल उत्साहित रहैत छी।,I always stay eager to learn.
ओ हमरा संग उदार व्यवहार करैत अछि।,He behaves generously with me.
अहाँ हमर आलोचना सहर्ष स्वीकार कएलहुँ।,You gladly accepted my criticism.
हम अपन संस्कृतिक आदर करैत छी।,I respect my culture.
ओ हमरा अपन प्रिय पुस्तक पढ़ायल।,He made me read his favorite book.
अहाँ हमर अभाव बुझलहुँ।,You understood my shortcomings.
हम कखनो हार नहि मानैत छी।,I never give up.
ओ हमरे प्रति सहानुभूति राखैत अछि।,He shows empathy toward me.
अहाँ हमरा अपन मित्र बनबय चाहब?,Would you like to be my friend?
हम अपन लक्ष्य के प्राप्त करय चाहैत छी।,I want to achieve my goal.
ओ हमरे संग ईमानदारी सँ काज करैत अछि।,He works honestly with me.
अहाँ हमर भावना के आदर कएलहुँ।,You respected my feelings.
हम अपन अनुभव पर विश्वास करैत छी।,I trust my experience.
ओ हमरा नव अवसर दैत अछि।,He gives me new opportunities.
अहाँ हमर भविष्य निर्माण में मदद कएलहुँ।,You helped build my future.
हम अपन इतिहास सिखय चाहैत छी।,I want to learn my history.
हम अहाँ के समर्थन के सराहना करैत छी।,I appreciate your support.
ओ हमर संग सिनेमा देखय गेल।,He went to watch a movie with me.
अहाँ हमरा संग पुस्तकालय चलब?,Will you come with me to the library?
हम नियमित रूप स' व्यायाम करैत छी।,I exercise regularly.
ओ हमर प्रिय गीत सुनबैत अछि।,He plays my favorite song.
अहाँ हमर आत्मविश्वास बढ़ेलहुँ।,You boosted my confidence.
हम अहाँ सँ बहुत प्रेरणा लैत छी।,I take a lot of inspiration from you.
ओ हमरा अपन जीवनक कठिनाइ कहलक।,He told me the hardships of his life.
अहाँ हमर संग भविष्यक योजना बनौलहुँ।,You planned the future with me.
हम रोज रोजनामचा लिखैत छी।,I write a daily diary.
ओ हमर विचार पर सहमति देलक।,He agreed with my opinion.
अहाँ हमर कार्य के सराहना कएलहुँ।,You appreciated my work.
हम अपने ऊपर विश्वास करैत छी।,I believe in myself.
ओ हमरा संगे काम करैत अछि।,He works with me.
अहाँ हमर प्रेरक बनि गेलहुँ।,You became my inspiration.
हम शिक्षा के महत्व बूझैत छी।,I understand the importance of education.
ओ हमरा अपन सफलता कथा कहलक।,He told me his success story.
अहाँ हमरा संग हर समय ठाढ़ छी।,You stand by me at all times.
हम हर दिन कुछ नवा करय चाहैत छी।,I want to do something new every day.
ओ हमर व्यक्तित्व सँ प्रभावित अछि।,He is impressed by my personality.
अहाँ हमर आत्मा के जोड़ देलहुँ।,You connected with my soul.
हम कठिन परिस्थिति स' नहीं डरैत छी।,I am not afraid of tough situations.
ओ हमरे संग सपनाक बात करैत अछि।,He talks to me about dreams.
अहाँ हमरा अपन मित्र कहब?,Will you call me your friend?
हम अपन भाषा पर गर्व करैत छी।,I am proud of my language.
ओ हमर भरोसा जीतलक।,He won my trust.
